ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=20.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=21.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=21.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=22.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=22.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=23.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=23.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=24.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=24.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=25.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=25.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=26.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=26.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=27.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=27.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=28.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=28.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=29.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=29.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=30.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=30.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=31.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=31.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=32.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=32.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=33.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=33.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=34.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=34.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=35.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=35.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=36.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=36.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=37.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=37.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=38.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=38.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=39.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=39.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=40.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=40.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=41.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-48.000000;ai_empty_blocks_weight=41.500000;points=857
